iter	RMSE
0	44022.4455
1	41141.63929
2	38535.53552
3	36302.85453
4	34059.0608
5	31906.01138
6	30010.62449
7	28241.20885
8	26727.16795
9	25281.70893
10	23978.07042
11	22713.90827
12	21516.02883
13	20456.0593
14	19474.20351
15	18609.82788
16	17835.23577
17	17013.72083
18	16279.93469
19	15575.60344
20	14948.29314
21	14337.09417
22	13738.57312
23	13183.55063
24	12697.81932
25	12212.13485
26	11763.2909
27	11341.84452
28	10900.88437
29	10501.16456
30	10128.14034
31	9770.973129
32	9401.471148
33	9095.791414
34	8770.339013
35	8497.767173
36	8238.951678
37	7978.702903
38	7699.598189
39	7474.959808
40	7239.984723
41	7040.87495
42	6848.137747
43	6663.320698
44	6497.655355
45	6327.260018
46	6158.379578
47	6005.043312
48	5864.733052
49	5698.316848
50	5571.555238
51	5441.145726
52	5327.74568
53	5212.781562
54	5094.87469
55	4975.433152
56	4859.263818
57	4774.464533
58	4681.782115
59	4603.278441
60	4523.656127
61	4454.052512
62	4375.361267
63	4308.418766
64	4247.509988
65	4175.122581
66	4114.95252
67	4064.103455
68	4015.576867
69	3962.639389
70	3914.665123
71	3878.318443
72	3841.637442
73	3808.090741
74	3731.76296
75	3697.840906
76	3653.047541
77	3606.090182
78	3573.208107
79	3543.304887
80	3498.670249
81	3463.125835
82	3410.578175
83	3381.577657
84	3353.603011
85	3310.693856
86	3290.818802
87	3249.932338
88	3227.910118
89	3200.9675
90	3179.415334
91	3158.263254
92	3121.487785
93	3071.871537
94	3042.88699
95	3026.755486
96	3011.984079
97	2978.035888
98	2950.333
99	2935.164854
100	2912.699583
101	2887.454264
102	2864.596623
103	2828.874845
104	2806.04005
105	2782.936663
106	2758.506278
107	2742.156399
108	2729.780968
109	2719.953715
110	2700.913045
111	2684.202018
112	2672.605091
113	2657.74152
114	2638.419032
115	2620.952665
116	2599.817599
117	2592.5955
118	2572.239632
119	2562.142075
120	2552.377906
121	2537.477748
122	2517.605653
123	2500.754743
124	2493.665655
125	2484.234474
126	2473.222894
127	2455.849428
128	2443.188663
129	2434.607655
130	2428.392961
131	2416.911651
132	2408.332023
133	2395.004313
134	2383.975038
135	2369.630227
136	2361.136762
137	2345.951165
138	2332.747451
139	2325.989083
140	2318.633503
141	2309.923982
142	2302.125807
143	2294.70482
144	2284.442622
145	2281.403326
146	2264.77885
147	2260.43244
148	2254.281715
149	2245.617882
150	2234.883145
151	2224.488281
152	2219.622888
153	2213.768557
154	2205.75296
155	2201.51779
156	2194.643824
157	2190.231345
158	2185.729819
159	2177.522512
160	2172.71361
161	2169.004336
162	2162.84779
163	2155.928495
164	2150.22214
165	2140.68774
166	2136.614271
167	2131.585563
168	2128.123778
169	2123.98488
170	2117.383368
171	2110.03096
172	2107.2878
173	2102.057582
174	2097.180936
175	2091.663731
176	2087.662752
177	2077.748823
178	2071.903879
179	2068.388571
180	2063.130354
181	2055.192932
182	2048.348671
183	2046.61769
184	2039.518682
185	2033.911735
186	2029.180081
187	2024.830081
188	2022.607682
189	2016.91494
190	2014.943178
191	2010.520952
192	2006.582922
193	2000.216088
194	1997.939618
195	1994.956442
196	1992.043661
197	1990.806922
198	1986.35282
199	1981.650151
200	1979.02894
201	1976.389627
202	1972.65831
203	1963.441996
204	1961.287651
205	1959.962917
206	1955.612048
207	1953.571058
208	1951.4135
209	1946.99269
210	1945.560503
211	1944.086571
212	1940.155037
213	1935.697247
214	1934.490133
215	1927.422954
216	1922.18969
217	1918.736938
218	1917.073072
219	1915.958278
220	1912.441368
221	1907.411548
222	1903.611419
223	1902.082787
224	1898.716013
225	1894.218985
226	1892.454353
227	1890.080052
228	1887.636166
229	1885.493781
230	1879.310942
231	1875.416382
232	1873.224213
233	1871.478785
234	1869.027877
235	1863.289683
236	1862.30725
237	1859.344013
238	1856.677916
239	1852.964318
240	1848.995921
241	1847.167713
242	1845.13872
243	1841.777705
244	1840.169771
245	1836.935498
246	1835.962581
247	1833.429001
248	1830.492768
249	1828.083445
250	1826.548827
251	1824.307957
252	1821.978121
253	1819.83696
254	1818.458262
255	1815.301064
256	1812.477645
257	1811.564938
258	1810.33212
259	1807.659442
260	1806.882189
261	1803.858931
262	1802.738513
263	1801.924543
264	1801.070491
265	1800.169433
266	1799.321895
267	1797.056078
268	1794.220581
269	1792.489431
270	1790.41406
271	1788.229809
272	1786.714844
273	1785.967027
274	1784.156018
275	1782.503998
276	1780.946045
277	1779.498664
278	1777.738006
279	1775.717416
280	1772.431423
281	1767.422525
282	1766.734191
283	1763.58639
284	1761.10564
285	1759.553303
286	1758.3403
287	1756.179512
288	1754.735275
289	1752.713956
290	1751.356735
291	1750.04538
292	1748.540018
293	1747.446085
294	1745.338371
295	1744.058926
296	1740.016224
297	1738.057395
298	1735.900866
299	1734.711174
300	1734.002286
301	1732.688407
302	1732.050731
303	1730.80246
304	1729.991158
305	1728.292105
306	1724.545797
307	1723.057156
308	1721.873665
309	1720.221595
310	1713.846748
311	1712.037869
312	1710.820049
313	1710.081948
314	1708.788878
315	1708.079041
316	1706.231888
317	1705.145584
318	1703.748504
319	1702.146637
320	1699.921237
321	1696.548459
322	1694.718351
323	1692.379537
324	1690.7661
325	1689.468177
326	1688.588189
327	1687.550846
328	1686.493617
329	1685.334354
330	1684.558754
331	1682.112967
332	1681.195702
333	1679.442595
334	1678.472102
335	1677.848396
336	1676.604139
337	1675.386273
338	1674.805863
339	1673.983063
340	1673.171161
341	1672.401047
342	1671.224312
343	1669.222669
344	1668.685399
345	1665.819248
346	1665.156959
347	1663.787983
348	1661.09992
349	1660.268051
350	1659.023266
351	1658.414787
352	1657.507171
353	1656.733594
354	1655.857972
355	1655.189914
356	1651.360384
357	1650.180372
358	1649.381017
359	1648.829741
360	1647.530812
361	1646.423693
362	1644.888537
363	1644.237453
364	1643.313409
365	1640.2025
366	1639.280636
367	1638.726259
368	1637.963485
369	1636.726076
370	1636.148205
371	1635.098908
372	1634.091729
373	1632.662075
374	1631.637888
375	1631.05345
376	1629.439517
377	1627.774343
378	1626.981421
379	1626.419715
380	1625.633228
381	1623.056452
382	1622.638409
383	1620.122999
384	1619.206074
385	1618.099579
386	1617.214934
387	1616.274986
388	1615.634008
389	1614.558967
390	1613.784992
391	1613.115425
