iter	Passed	Remaining
0	2	1222
1	6	1682
2	10	1750
3	12	1560
4	19	1886
5	21	1729
6	24	1726
7	27	1708
8	29	1616
9	31	1535
10	34	1536
11	37	1539
12	40	1499
13	41	1448
14	43	1413
15	45	1377
16	47	1344
17	49	1324
18	51	1310
19	54	1298
20	56	1288
21	58	1270
22	60	1259
23	62	1240
24	65	1238
25	67	1233
26	69	1225
27	72	1214
28	73	1201
29	75	1189
30	77	1176
31	80	1175
32	82	1167
33	84	1154
34	87	1156
35	89	1147
36	91	1139
37	92	1129
38	94	1118
39	96	1104
40	97	1090
41	98	1079
42	101	1075
43	103	1068
44	104	1061
45	107	1058
46	109	1051
47	110	1040
48	111	1030
49	113	1025
50	116	1023
51	118	1020
52	120	1014
53	121	1004
54	122	994
55	124	984
56	125	976
57	127	973
58	130	972
59	131	967
60	133	962
61	135	954
62	136	946
63	137	938
64	139	930
65	140	923
66	141	916
67	143	912
68	145	910
69	147	907
70	149	903
71	151	898
72	152	892
73	153	886
74	155	881
75	157	877
76	158	872
77	160	869
78	162	865
79	164	861
80	165	858
81	167	854
82	170	855
83	172	854
84	174	851
85	175	846
86	177	841
87	178	835
88	179	830
89	181	825
90	183	822
91	184	819
92	186	816
93	188	813
94	190	811
95	192	809
96	194	807
97	195	803
98	197	799
99	199	796
100	201	794
101	202	791
102	204	787
103	205	784
104	207	780
105	209	778
106	211	775
107	212	771
108	213	767
109	215	764
110	216	760
111	218	756
112	219	752
113	220	747
114	222	744
115	223	740
116	225	736
117	226	733
118	227	729
119	229	726
120	230	722
121	232	719
122	233	716
123	235	712
124	236	709
125	237	706
126	239	702
127	240	699
128	242	696
129	243	693
130	245	691
131	247	689
132	248	686
133	250	684
134	252	681
135	253	678
136	254	675
137	256	671
138	257	668
139	259	666
140	260	663
141	261	660
142	263	657
143	264	655
144	266	652
145	267	649
146	269	646
147	270	643
148	272	641
149	274	639
150	275	637
151	278	637
152	279	634
153	281	632
154	282	629
155	284	626
156	285	624
157	287	621
158	288	619
159	290	617
160	292	615
161	294	614
162	296	612
163	298	610
164	299	608
165	301	606
166	302	603
167	304	602
168	306	600
169	308	598
170	310	596
171	312	595
172	313	593
173	315	591
174	317	590
175	319	588
176	321	586
177	322	584
178	324	581
179	326	579
180	327	577
181	329	576
182	332	575
183	335	575
184	337	574
185	339	572
186	340	570
187	342	569
188	344	566
189	346	564
190	347	562
191	349	560
192	351	558
193	352	556
194	354	554
195	355	551
196	357	550
197	359	548
198	361	546
199	362	544
200	364	542
201	365	539
202	367	537
203	369	535
204	370	533
205	372	531
206	374	529
207	375	527
208	377	525
209	379	523
210	380	521
211	382	519
212	383	517
213	386	515
214	387	514
215	389	512
216	390	509
217	392	507
218	393	504
219	395	502
220	396	500
221	397	498
222	399	495
223	400	493
224	401	491
225	403	489
226	404	486
227	406	484
228	407	482
229	408	479
230	410	477
231	411	475
232	413	473
233	414	471
234	416	469
235	417	467
236	419	465
237	421	463
238	423	462
239	424	460
240	426	458
241	428	456
242	429	454
243	431	452
244	432	450
245	434	448
246	435	446
247	437	444
248	438	442
249	439	439
250	441	437
251	442	435
252	444	433
253	445	431
254	447	429
255	448	427
256	450	426
257	452	424
258	453	422
259	455	420
260	456	418
261	458	416
262	460	414
263	462	413
264	464	411
265	465	409
266	467	407
267	469	406
268	470	404
269	471	402
270	473	399
271	474	398
272	476	396
273	478	394
274	479	392
275	481	391
276	484	389
277	485	387
278	487	385
279	488	383
280	490	381
281	491	380
282	493	378
283	495	376
284	496	374
285	498	372
286	499	370
287	500	368
288	502	366
289	503	364
290	505	363
291	507	361
292	509	359
293	510	357
294	512	355
295	513	353
296	514	351
297	516	349
298	517	347
299	519	346
300	521	344
301	522	342
302	524	340
303	525	339
304	527	337
305	528	335
306	530	333
307	531	331
308	532	329
309	534	327
310	536	325
311	537	324
312	539	322
313	540	320
314	542	318
315	543	316
316	544	314
317	546	312
318	548	310
319	549	309
320	551	307
321	553	305
322	554	303
323	556	302
324	557	300
325	558	298
326	560	296
327	561	294
328	563	292
329	564	290
330	566	289
331	568	287
332	570	285
333	571	284
334	573	282
335	575	280
336	577	279
337	578	277
338	580	275
339	582	273
340	583	272
341	584	270
342	585	268
343	587	266
344	588	264
345	589	262
346	591	260
347	593	259
348	595	257
349	596	255
350	598	254
351	599	252
352	600	250
353	602	248
354	603	246
355	605	245
356	607	243
357	609	241
358	610	239
359	612	238
360	613	236
361	615	234
362	616	232
363	618	230
364	620	229
365	621	227
366	623	225
367	624	224
368	626	222
369	627	220
370	629	218
371	630	216
372	631	215
373	633	213
374	635	211
375	637	210
376	638	208
377	640	206
378	641	204
379	643	203
380	644	201
381	646	199
382	648	197
383	649	196
384	651	194
385	653	193
386	655	191
387	657	189
388	658	187
389	660	186
390	661	184
391	663	182
392	664	180
393	666	179
394	667	177
395	669	175
396	670	173
397	671	172
398	673	170
399	674	168
400	676	166
401	677	165
402	679	163
403	681	161
404	682	160
