id_vivienda,superficie,num_hab,distancia,fecha_const,parking,premiada,tam_buzon,precio,impuestos,vendida
viv_1,65.0,1,7,1991-01-01,ext,0,0.9,166000,16600.0,1
viv_2,97.0,4+,8,1994-01-01,ext,0,1.8,279000,27900.0,1
viv_3,80.0,4+,4,1970-01-01,,0,1.0,233000,23300.0,1
viv_4,73.0,1,1,1983-01-01,ext,0,1.1,182000,18200.0,1
viv_5,86.0,2,8,1999-01-01,,0,1.2,210000,21000.0,1
viv_6,95.0,3,1,1978-01-01,int,0,0.6,297000,29700.0,1
viv_7,110.0,4+,1,1978-01-01,ext,0,1.2,225000,22500.0,0
viv_8,126.0,1,1,1997-01-01,ext,0,0.8,222000,22200.0,0
viv_9,98.0,2,8,2002-01-01,,0,1.3,225000,22500.0,1
viv_10,65.0,4+,5,1976-01-01,,0,1.3,207000,20700.0,1
viv_11,75.0,4+,10,2000-01-01,,0,1.0,175000,17500.0,1
viv_12,124.0,4+,10,1997-01-01,,0,0.7,219000,21900.0,1
viv_13,114.0,1,8,2021-01-01,int,0,0.7,217000,21700.0,1
viv_14,100.0,1,10,1989-01-01,,0,1.0,156000,15600.0,1
viv_15,82.0,3,5,1965-01-01,ext,0,1.3,166000,16600.0,0
viv_16,95.0,3,5,1970-01-01,ext,0,1.3,269000,26900.0,1
viv_17,81.0,1,8,1979-01-01,int,0,1.1,182000,18200.0,1
viv_18,125.0,3,3,1981-01-01,,0,1.6,294000,29400.0,1
viv_19,101.0,1,4,2010-01-01,,0,1.2,197000,19700.0,1
viv_20,120.0,2,2,1981-01-01,ext,0,1.6,294000,29400.0,1
viv_21,104.0,2,3,2001-01-01,ext,0,0.7,126000,12600.0,0
viv_22,99.0,2,5,1982-01-01,int,0,0.8,272000,27200.0,1
viv_23,70.0,2,8,1998-01-01,int,0,0.6,207000,20700.0,1
viv_24,91.0,3,7,1982-01-01,,0,0.8,238000,23800.0,1
viv_25,124.0,4+,7,2012-01-01,int,0,1.1,348000,34800.0,1
viv_26,62.0,1,2,1995-01-01,,0,0.5,265000,26500.0,0
viv_27,116.0,3,2,1978-01-01,int,0,1.7,334000,33400.0,1
viv_28,110.0,1,6,1969-01-01,ext,0,0.9,162000,16200.0,0
viv_29,109.0,3,4,1984-01-01,ext,0,1.8,309000,30900.0,1
